GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
NCD_BMI_MINUS2C,"Thinness among children and adolescents, BMI-for-age < -2 standard deviations below the median (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-thinness-among-children-and-adolescents-bmi--2-standard-deviations-below-the-median-%28crude-estimate%29-%28-%29,1991,1991,1991,EMR,Eastern Mediterranean,ARE,United Arab Emirates,SEX,SEX_FMLE,Female,4.3476041,4.3 [1.4-9.7],1.369179,9.729366
NCD_BMI_18A,"Underweight among adults, BMI < 18.5 kg/m2 (age-standardized estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-underweight-among-adults-bmi-18-%28age-standardized-estimate%29-%28-%29,1993,1993,1993,EMR,Eastern Mediterranean,ARE,United Arab Emirates,SEX,SEX_BTSX,Both sexes,4.1594647,4.2 [2.8-5.9],2.8078187,5.8511764
NCD_BMI_PLUS2C,"Obesity among children and adolescents, BMI-for-age > +2 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-children-and-adolescents-bmi-2-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,1992,1992,1992,EMR,Eastern Mediterranean,ARE,United Arab Emirates,SEX,SEX_FMLE,Female,8.0650121,8.1 [4.1-13.6],4.0604722,13.565499
NCD_BMI_25C,"Overweight among adults, BMI ≥ 25 kg/m2 (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-overweight-among-adults-bmi-greaterequal-25-%28crude-estimate%29-%28-%29,2004,2004,2004,EMR,Eastern Mediterranean,ARE,United Arab Emirates,SEX,SEX_FMLE,Female,64.784127,64.8 [62.1-67.4],62.082231,67.441183
NCD_BMI_PLUS1C,"Overweight among children and adolescents, BMI-for-age > +1 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-overweight-among-children-and-adolescents-bmi-1-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2010,2010,2010,EMR,Eastern Mediterranean,ARE,United Arab Emirates,SEX,SEX_MLE,Male,41.104326,41.1 [36.7-45.6],36.70755,45.563069
NCD_BMI_PLUS2C,"Obesity among children and adolescents, BMI-for-age > +2 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-children-and-adolescents-bmi-2-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2004,2004,2004,EMR,Eastern Mediterranean,ARE,United Arab Emirates,SEX,SEX_FMLE,Female,11.713266,11.7 [6.0-19.2],6.0026947,19.232389
NCD_BMI_25A,"Overweight among adults, BMI ≥ 25 kg/m2 (age-standardized estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-overweight-among-adults-bmi--25-%28age-standardized-estimate%29-%28-%29,1980,1980,1980,EMR,Eastern Mediterranean,ARE,United Arab Emirates,SEX,SEX_MLE,Male,43.571359,43.6 [32.9-54.3],32.90247,54.274446
NCD_BMI_25A,"Overweight among adults, BMI ≥ 25 kg/m2 (age-standardized estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-overweight-among-adults-bmi--25-%28age-standardized-estimate%29-%28-%29,1981,1981,1981,EMR,Eastern Mediterranean,ARE,United Arab Emirates,SEX,SEX_MLE,Male,44.579145,44.6 [34.4-54.7],34.395173,54.739964
NCD_BMI_25A,"Overweight among adults, BMI ≥ 25 kg/m2 (age-standardized estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-overweight-among-adults-bmi--25-%28age-standardized-estimate%29-%28-%29,1982,1982,1982,EMR,Eastern Mediterranean,ARE,United Arab Emirates,SEX,SEX_MLE,Male,45.604387,45.6 [36.0-55.2],36.030722,55.152887
NCD_BMI_25A,"Overweight among adults, BMI ≥ 25 kg/m2 (age-standardized estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-overweight-among-adults-bmi--25-%28age-standardized-estimate%29-%28-%29,1983,1983,1983,EMR,Eastern Mediterranean,ARE,United Arab Emirates,SEX,SEX_MLE,Male,46.648404,46.6 [37.6-55.5],37.589943,55.541486
